,H,B,tw,tf,A,Z
1111,400,200,9,12,8184,1102892.16
1112,400,200,9,16,9712,1367215.787
1113,400,200,9,19,10858,1558064.897
1114,400,200,9,22,12004,1742691.227
1115,400,200,9,25,13150,1921197.917
1116,400,200,9,28,14296,2093688.107
1117,400,200,9,32,15824,2314494.293
1118,400,200,9,36,17352,2525032.32
1119,400,200,9,40,18880,2725546.667
1121,400,200,12,12,9312,1169338.88
1122,400,200,12,16,10816,1429510.827
1123,400,200,12,19,11944,1617362.307
1124,400,200,12,22,13072,1799088.747
1125,400,200,12,25,14200,1974791.667
1126,400,200,12,28,15328,2144572.587
1127,400,200,12,32,16832,2361910.613
1128,400,200,12,36,18336,2569141.76
1129,400,200,12,40,19840,2766506.667
1131,400,200,14,12,10064,1213636.693
1132,400,200,14,16,11552,1471040.853
1133,400,200,14,19,12668,1656893.913
1134,400,200,14,22,13784,1836687.093
1135,400,200,14,25,14900,2010520.833
1136,400,200,14,28,16016,2178495.573
1137,400,200,14,32,17504,2393521.493
1138,400,200,14,36,18992,2598548.053
1139,400,200,14,40,20480,2793813.333
1141,400,200,16,12,10816,1257934.507
1142,400,200,16,16,12288,1512570.88
1143,400,200,16,19,13392,1696425.52
1144,400,200,16,22,14496,1874285.44
1145,400,200,16,25,15600,2046250
1146,400,200,16,28,16704,2212418.56
1147,400,200,16,32,18176,2425132.373
1148,400,200,16,36,19648,2627954.347
1149,400,200,16,40,21120,2821120
1151,400,200,19,12,11944,1324381.227
1152,400,200,19,16,13392,1574865.92
1153,400,200,19,19,14478,1755722.93
1154,400,200,19,22,15564,1930682.96
1155,400,200,19,25,16650,2099843.75
1156,400,200,19,28,17736,2263303.04
1157,400,200,19,32,19184,2472548.693
1158,400,200,19,36,20632,2672063.787
1159,400,200,19,40,22080,2862080
1161,400,200,22,12,13072,1390827.947
1162,400,200,22,16,14496,1637160.96
1163,400,200,22,19,15564,1815020.34
1164,400,200,22,22,16632,1987080.48
1165,400,200,22,25,17700,2153437.5
1166,400,200,22,28,18768,2314187.52
1167,400,200,22,32,20192,2519965.013
1168,400,200,22,36,21616,2716173.227
1169,400,200,22,40,23040,2903040
1211,400,250,9,12,9384,1328780.16
1212,400,250,9,16,11312,1662298.453
1213,400,250,9,19,12758,1903108.063
1214,400,250,9,22,14204,2136065.893
1215,400,250,9,25,15650,2361302.083
1216,400,250,9,28,17096,2578946.773
1217,400,250,9,32,19024,2857555.627
1218,400,250,9,36,20952,3123208.32
1219,400,250,9,40,22880,3376213.333
1221,400,250,12,12,10512,1395226.88
1222,400,250,12,16,12416,1724593.493
1223,400,250,12,19,13844,1962405.473
1224,400,250,12,22,15272,2192463.413
1225,400,250,12,25,16700,2414895.833
1226,400,250,12,28,18128,2629831.253
1227,400,250,12,32,20032,2904971.947
1228,400,250,12,36,21936,3167317.76
1229,400,250,12,40,23840,3417173.333
1231,400,250,14,12,11264,1439524.693
1232,400,250,14,16,13152,1766123.52
1233,400,250,14,19,14568,2001937.08
1234,400,250,14,22,15984,2230061.76
1235,400,250,14,25,17400,2450625
1236,400,250,14,28,18816,2663754.24
1237,400,250,14,32,20704,2936582.827
1238,400,250,14,36,22592,3196724.053
1239,400,250,14,40,24480,3444480
1241,400,250,16,12,12016,1483822.507
1242,400,250,16,16,13888,1807653.547
1243,400,250,16,19,15292,2041468.687
1244,400,250,16,22,16696,2267660.107
1245,400,250,16,25,18100,2486354.167
1246,400,250,16,28,19504,2697677.227
1247,400,250,16,32,21376,2968193.707
1248,400,250,16,36,23248,3226130.347
1249,400,250,16,40,25120,3471786.667
1251,400,250,19,12,13144,1550269.227
1252,400,250,19,16,14992,1869948.587
1253,400,250,19,19,16378,2100766.097
1254,400,250,19,22,17764,2324057.627
1255,400,250,19,25,19150,2539947.917
1256,400,250,19,28,20536,2748561.707
1257,400,250,19,32,22384,3015610.027
1258,400,250,19,36,24232,3270239.787
1259,400,250,19,40,26080,3512746.667
1261,400,250,22,12,14272,1616715.947
1262,400,250,22,16,16096,1932243.627
1263,400,250,22,19,17464,2160063.507
1264,400,250,22,22,18832,2380455.147
1265,400,250,22,25,20200,2593541.667
1266,400,250,22,28,21568,2799446.187
1267,400,250,22,32,23392,3063026.347
1268,400,250,22,36,25216,3314349.227
1269,400,250,22,40,27040,3553706.667
1311,400,300,9,12,10584,1554668.16
1312,400,300,9,16,12912,1957381.12
1313,400,300,9,19,14658,2248151.23
1314,400,300,9,22,16404,2529440.56
1315,400,300,9,25,18150,2801406.25
1316,400,300,9,28,19896,3064205.44
1317,400,300,9,32,22224,3400616.96
1318,400,300,9,36,24552,3721384.32
1319,400,300,9,40,26880,4026880
1321,400,300,12,12,11712,1621114.88
1322,400,300,12,16,14016,2019676.16
1323,400,300,12,19,15744,2307448.64
1324,400,300,12,22,17472,2585838.08
1325,400,300,12,25,19200,2855000
1326,400,300,12,28,20928,3115089.92
1327,400,300,12,32,23232,3448033.28
1328,400,300,12,36,25536,3765493.76
1329,400,300,12,40,27840,4067840
1331,400,300,14,12,12464,1665412.693
1332,400,300,14,16,14752,2061206.187
1333,400,300,14,19,16468,2346980.247
1334,400,300,14,22,18184,2623436.427
1335,400,300,14,25,19900,2890729.167
1336,400,300,14,28,21616,3149012.907
1337,400,300,14,32,23904,3479644.16
1338,400,300,14,36,26192,3794900.053
1339,400,300,14,40,28480,4095146.667
1341,400,300,16,12,13216,1709710.507
1342,400,300,16,16,15488,2102736.213
1343,400,300,16,19,17192,2386511.853
1344,400,300,16,22,18896,2661034.773
1345,400,300,16,25,20600,2926458.333
1346,400,300,16,28,22304,3182935.893
1347,400,300,16,32,24576,3511255.04
1348,400,300,16,36,26848,3824306.347
1349,400,300,16,40,29120,4122453.333
1351,400,300,19,12,14344,1776157.227
1352,400,300,19,16,16592,2165031.253
1353,400,300,19,19,18278,2445809.263
1354,400,300,19,22,19964,2717432.293
1355,400,300,19,25,21650,2980052.083
1356,400,300,19,28,23336,3233820.373
1357,400,300,19,32,25584,3558671.36
1358,400,300,19,36,27832,3868415.787
1359,400,300,19,40,30080,4163413.333
1361,400,300,22,12,15472,1842603.947
1362,400,300,22,16,17696,2227326.293
1363,400,300,22,19,19364,2505106.673
1364,400,300,22,22,21032,2773829.813
1365,400,300,22,25,22700,3033645.833
1366,400,300,22,28,24368,3284704.853
1367,400,300,22,32,26592,3606087.68
1368,400,300,22,36,28816,3912525.227
1369,400,300,22,40,31040,4204373.333
1411,400,350,9,12,11784,1780556.16
1412,400,350,9,16,14512,2252463.787
1413,400,350,9,19,16558,2593194.397
1414,400,350,9,22,18604,2922815.227
1415,400,350,9,25,20650,3241510.417
1416,400,350,9,28,22696,3549464.107
1417,400,350,9,32,25424,3943678.293
1418,400,350,9,36,28152,4319560.32
1419,400,350,9,40,30880,4677546.667
1421,400,350,12,12,12912,1847002.88
1422,400,350,12,16,15616,2314758.827
1423,400,350,12,19,17644,2652491.807
1424,400,350,12,22,19672,2979212.747
1425,400,350,12,25,21700,3295104.167
1426,400,350,12,28,23728,3600348.587
1427,400,350,12,32,26432,3991094.613
1428,400,350,12,36,29136,4363669.76
1429,400,350,12,40,31840,4718506.667
1431,400,350,14,12,13664,1891300.693
1432,400,350,14,16,16352,2356288.853
1433,400,350,14,19,18368,2692023.413
1434,400,350,14,22,20384,3016811.093
1435,400,350,14,25,22400,3330833.333
1436,400,350,14,28,24416,3634271.573
1437,400,350,14,32,27104,4022705.493
1438,400,350,14,36,29792,4393076.053
1439,400,350,14,40,32480,4745813.333
1441,400,350,16,12,14416,1935598.507
1442,400,350,16,16,17088,2397818.88
1443,400,350,16,19,19092,2731555.02
1444,400,350,16,22,21096,3054409.44
1445,400,350,16,25,23100,3366562.5
1446,400,350,16,28,25104,3668194.56
1447,400,350,16,32,27776,4054316.373
1448,400,350,16,36,30448,4422482.347
1449,400,350,16,40,33120,4773120
1451,400,350,19,12,15544,2002045.227
1452,400,350,19,16,18192,2460113.92
1453,400,350,19,19,20178,2790852.43
1454,400,350,19,22,22164,3110806.96
1455,400,350,19,25,24150,3420156.25
1456,400,350,19,28,26136,3719079.04
1457,400,350,19,32,28784,4101732.693
1458,400,350,19,36,31432,4466591.787
1459,400,350,19,40,34080,4814080
1461,400,350,22,12,16672,2068491.947
1462,400,350,22,16,19296,2522408.96
1463,400,350,22,19,21264,2850149.84
1464,400,350,22,22,23232,3167204.48
1465,400,350,22,25,25200,3473750
1466,400,350,22,28,27168,3769963.52
1467,400,350,22,32,29792,4149149.013
1468,400,350,22,36,32416,4510701.227
1469,400,350,22,40,35040,4855040
1511,400,400,9,12,12984,2006444.16
1512,400,400,9,16,16112,2547546.453
1513,400,400,9,19,18458,2938237.563
1514,400,400,9,22,20804,3316189.893
1515,400,400,9,25,23150,3681614.583
1516,400,400,9,28,25496,4034722.773
1517,400,400,9,32,28624,4486739.627
1518,400,400,9,36,31752,4917736.32
1519,400,400,9,40,34880,5328213.333
1521,400,400,12,12,14112,2072890.88
1522,400,400,12,16,17216,2609841.493
1523,400,400,12,19,19544,2997534.973
1524,400,400,12,22,21872,3372587.413
1525,400,400,12,25,24200,3735208.333
1526,400,400,12,28,26528,4085607.253
1527,400,400,12,32,29632,4534155.947
1528,400,400,12,36,32736,4961845.76
1529,400,400,12,40,35840,5369173.333
1531,400,400,14,12,14864,2117188.693
1532,400,400,14,16,17952,2651371.52
1533,400,400,14,19,20268,3037066.58
1534,400,400,14,22,22584,3410185.76
1535,400,400,14,25,24900,3770937.5
1536,400,400,14,28,27216,4119530.24
1537,400,400,14,32,30304,4565766.827
1538,400,400,14,36,33392,4991252.053
1539,400,400,14,40,36480,5396480
1541,400,400,16,12,15616,2161486.507
1542,400,400,16,16,18688,2692901.547
1543,400,400,16,19,20992,3076598.187
1544,400,400,16,22,23296,3447784.107
1545,400,400,16,25,25600,3806666.667
1546,400,400,16,28,27904,4153453.227
1547,400,400,16,32,30976,4597377.707
1548,400,400,16,36,34048,5020658.347
1549,400,400,16,40,37120,5423786.667
1551,400,400,19,12,16744,2227933.227
1552,400,400,19,16,19792,2755196.587
1553,400,400,19,19,22078,3135895.597
1554,400,400,19,22,24364,3504181.627
1555,400,400,19,25,26650,3860260.417
1556,400,400,19,28,28936,4204337.707
1557,400,400,19,32,31984,4644794.027
1558,400,400,19,36,35032,5064767.787
1559,400,400,19,40,38080,5464746.667
1561,400,400,22,12,17872,2294379.947
1562,400,400,22,16,20896,2817491.627
1563,400,400,22,19,23164,3195193.007
1564,400,400,22,22,25432,3560579.147
1565,400,400,22,25,27700,3913854.167
1566,400,400,22,28,29968,4255222.187
1567,400,400,22,32,32992,4692210.347
1568,400,400,22,36,36016,5108877.227
1569,400,400,22,40,39040,5505706.667
2111,450,200,9,12,8634,1281119.92
2112,450,200,9,16,10162,1583476.033
2113,450,200,9,19,11308,1802779.686
2114,450,200,9,22,12454,2015787.979
2115,450,200,9,25,13600,2222592.593
2116,450,200,9,28,14746,2423285.206
2117,450,200,9,32,16274,2681526.261
2118,450,200,9,36,17802,2929281.84
2119,450,200,9,40,19330,3166769.259
2121,450,200,12,12,9912,1367018.56
2122,450,200,12,16,11416,1664625.624
2123,450,200,12,19,12544,1880484.717
2124,450,200,12,22,13672,2090147.33
2125,450,200,12,25,14800,2293703.704
2126,450,200,12,28,15928,2491244.077
2127,450,200,12,32,17432,2745428.99
2128,450,200,12,36,18936,2989293.12
2129,450,200,12,40,20440,3223050.37
2131,450,200,14,12,10764,1424284.32
2132,450,200,14,16,12252,1718725.351
2133,450,200,14,19,13368,1932288.071
2134,450,200,14,22,14484,2139720.231
2135,450,200,14,25,15600,2341111.111
2136,450,200,14,28,16716,2536549.991
2137,450,200,14,32,18204,2788030.809
2138,450,200,14,36,19692,3029300.64
2139,450,200,14,40,21180,3260571.111
2141,450,200,16,12,11616,1481550.08
2142,450,200,16,16,13088,1772825.079
2143,450,200,16,19,14192,1984091.425
2144,450,200,16,22,15296,2189293.132
2145,450,200,16,25,16400,2388518.519
2146,450,200,16,28,17504,2581855.905
2147,450,200,16,32,18976,2830632.628
2148,450,200,16,36,20448,3069308.16
2149,450,200,16,40,21920,3298091.852
2151,450,200,19,12,12894,1567448.72
2152,450,200,19,16,14342,1853974.67
2153,450,200,19,19,15428,2061796.456
2154,450,200,19,22,16514,2263652.483
2155,450,200,19,25,17600,2459629.63
2156,450,200,19,28,18686,2649814.776
2157,450,200,19,32,20134,2894535.357
2158,450,200,19,36,21582,3129319.44
2159,450,200,19,40,23030,3354372.963
2161,450,200,22,12,14172,1653347.36
2162,450,200,22,16,15596,1935124.261
2163,450,200,22,19,16664,2139501.487
2164,450,200,22,22,17732,2338011.834
2165,450,200,22,25,18800,2530740.741
2166,450,200,22,28,19868,2717773.647
2167,450,200,22,32,21292,2958438.086
2168,450,200,22,36,22716,3189330.72
2169,450,200,22,40,24140,3410654.074
2211,450,250,9,12,9834,1536975.92
2212,450,250,9,16,11762,1918482.847
2213,450,250,9,19,13208,2195195.834
2214,450,250,9,22,14654,2463965.461
2215,450,250,9,25,16100,2724907.407
2216,450,250,9,28,17546,2978137.354
2217,450,250,9,32,19474,3303980.779
2218,450,250,9,36,21402,3616593.84
2219,450,250,9,40,23330,3916250.741
2221,450,250,12,12,11112,1622874.56
2222,450,250,12,16,13016,1999632.439
2223,450,250,12,19,14444,2272900.865
2224,450,250,12,22,15872,2538324.812
2225,450,250,12,25,17300,2796018.519
2226,450,250,12,28,18728,3046096.225
2227,450,250,12,32,20632,3367883.508
2228,450,250,12,36,22536,3676605.12
2229,450,250,12,40,24440,3972531.852
2231,450,250,14,12,11964,1680140.32
2232,450,250,14,16,13852,2053732.166
2233,450,250,14,19,15268,2324704.219
2234,450,250,14,22,16684,2587897.713
2235,450,250,14,25,18100,2843425.926
2236,450,250,14,28,19516,3091402.139
2237,450,250,14,32,21404,3410485.327
2238,450,250,14,36,23292,3716612.64
2239,450,250,14,40,25180,4010052.593
2241,450,250,16,12,12816,1737406.08
2242,450,250,16,16,14688,2107831.893
2243,450,250,16,19,16092,2376507.573
2244,450,250,16,22,17496,2637470.613
2245,450,250,16,25,18900,2890833.333
2246,450,250,16,28,20304,3136708.053
2247,450,250,16,32,22176,3453087.147
2248,450,250,16,36,24048,3756620.16
2249,450,250,16,40,25920,4047573.333
2251,450,250,19,12,14094,1823304.72
2252,450,250,19,16,15942,2188981.484
2253,450,250,19,19,17328,2454212.604
2254,450,250,19,22,18714,2711829.964
2255,450,250,19,25,20100,2961944.444
2256,450,250,19,28,21486,3204666.924
2257,450,250,19,32,23334,3516989.876
2258,450,250,19,36,25182,3816631.44
