,D,td,A,Z
11,350,12,16224,1767458.011
12,350,16,21376,2276279.345
13,350,19,25156,2633521.745
14,350,22,28864,2970737.859
15,350,25,32500,3288690.476
16,350,28,36064,3588127.573
17,350,32,40704,3959840.183
18,350,36,45216,4301634.926
19,350,38,47424,4461830.583
1a,350,40,49600,4615161.905
21,400,12,18624,2338677.76
22,400,16,24576,3025141.76
23,400,19,28956,3511445.86
24,400,22,33264,3974160.96
25,400,25,37500,4414062.5
26,400,28,41664,4831912.96
27,400,32,47104,5356038.827
28,400,36,52416,5844034.56
29,400,38,55024,6075016.427
2a,400,40,57600,6297600
31,450,12,21024,2989893.12
32,450,16,27776,3880656.972
33,450,19,32756,4516009.061
34,450,22,37664,5124201.15
35,450,25,42500,5706018.519
36,450,28,47264,6262234.927
37,450,32,53504,6965348.883
38,450,36,59616,7626078.72
39,450,38,62624,7941094.305
3a,450,40,65600,8246162.963
41,500,12,23424,3721105.408
42,500,16,30976,4842829.141
43,500,19,36556,5647219.621
44,500,22,42064,6420873.301
45,500,25,47500,7164583.333
46,500,28,52864,7879132.501
47,500,32,59904,8787836.928
48,500,36,66816,9647874.048
49,500,38,70224,10060196.61
4a,500,40,73600,10461013.33
51,550,12,25824,4532315.462
52,550,16,34176,5911660.916
53,550,19,40356,6905082.807
54,550,22,46464,7864186.88
55,550,25,52500,8789772.727
56,550,28,58464,9682630.516
57,550,32,66304,10823545.33
58,550,36,74016,11909488.41
59,550,38,77824,12432407.58
5a,550,40,81600,12942254.55
61,600,12,28224,5423523.84
62,600,16,37376,7087154.062
63,600,19,44156,8289602.129
64,600,22,50864,9454148.196
65,600,25,57500,10581597.22
66,600,28,64064,11672745.53
67,600,32,72704,13072502.33
68,600,36,81216,14410967.04
69,600,38,85424,15057783.4
6a,600,40,89600,15689955.56
71,650,12,30624,6394730.929
72,650,16,40576,8369309.801
73,650,19,47956,9800780.016
74,650,22,55264,11190761.62
75,650,25,62500,12540064.1
76,650,28,69664,13849489
77,650,32,79104,15534727.48
78,650,36,88416,17152341.27
79,650,38,93024,17936362.93
7a,650,40,97600,18704164.1
81,700,12,33024,7445937.006
82,700,16,43776,9758129.006
83,700,19,51756,11438618.21
84,700,22,59664,13074030.26
85,700,25,67500,14665178.57
86,700,28,75264,16212869.12
87,700,32,85504,18210234.76
88,700,36,95616,20133633.46
89,700,38,100624,21068173.96
8a,700,40,105600,21984914.29
91,750,12,35424,8577142.272
92,750,16,46976,11253612.32
93,750,19,55556,13203117.97
94,750,22,64064,15103956.42
95,750,25,72500,16956944.44
96,750,28,80864,18762891.89
97,750,32,91904,21099034.4
98,750,36,102816,23354860.03
99,750,38,108224,24453236.85
9a,750,40,113600,25532231.11
a1,800,12,37824,9788346.88
a2,800,16,50176,12855760.21
a3,800,19,59356,15094280.26
a4,800,22,68464,17280541.81
a5,800,25,77500,19415364.58
a6,800,28,86464,21499561.81
a7,800,32,98304,24201134.08
a8,800,36,110016,26816033.28
a9,800,38,115824,28091566.88
aa,800,40,121600,29346133.33
b1,850,12,40224,11079550.95
b2,850,16,53376,14564573.06
b3,850,19,63156,17112105.82
b4,850,22,72864,19603787.75
b5,850,25,82500,22040441.18
b6,850,28,92064,24422882.33
b7,850,32,104704,27516539.68
b8,850,36,117216,30517162.62
b9,850,38,123424,31983175.73
ba,850,40,129600,33426635.29
c1,900,12,42624,12450754.56
c2,900,16,56576,16380051.15
c3,900,19,66956,19256595.2
c4,900,22,77264,22073695.24
c5,900,25,87500,24832175.93
c6,900,28,97664,27532856.13
c7,900,32,111104,31045255.77
c8,900,36,124416,34458255.36
c9,900,38,131024,36128072.49
ca,900,40,137600,37773748.15
d1,950,12,45024,13901957.79
d2,950,16,59776,18302194.71
d3,950,19,70756,21527748.85
d4,950,22,81664,24690265.11
d5,950,25,92500,27790570.18
d6,950,28,103264,30829485.32
d7,950,32,117504,34787285.96
d8,950,36,131616,38639317.29
d9,950,38,138624,40526264.32
da,950,40,145600,42387480.7
e1,1000,12,47424,15433160.7
e2,1000,16,62976,20331003.9
e3,1000,19,74556,23925567.14
e4,1000,22,86064,27453497.98
e5,1000,25,97500,30915625
e6,1000,28,108864,34312771.58
e7,1000,32,123904,38742633.13
e8,1000,36,138816,43060353.02
e9,1000,38,146224,45177756.97
ea,1000,40,153600,47267840
